State,Year,Tertiary_Thousands,Total_Thousands,Tertiary_Percentage,Latitude,Longitude,Latitude2,Longitude2
Johor,2021,521,1835,28.4,2.0229012,103.3147721,1.0229012,104.3147721
Kedah,2021,297,972.6,30.5,6.0,100.5,6.7,101.2
Kelantan,2021,217,719.8,30.1,5.402130199,102.0635972,5.402130199,104.0635972
Melaka,2021,174.4,444.1,39.3,2.3293744,102.2880962,1.4293744,101.7880962
Negeri Sembilan,2021,164.4,487.8,33.7,2.731895,102.1925319,2.181895,101.0025319
Pahang,2021,227.2,729.4,31.1,3.6168822,102.5994547,3.2168822,104.0994547
Penang,2021,299.5,889.5,33.7,5.406501299,100.2559077,5.206501299,99.5559077
Perak,2021,319.1,1100.6,29,4.812181,100.9797908,4.512181,100.0797908
Perlis,2021,35.9,113.3,31.7,6.486839199,100.2577623,6.03839199,99.0577623
Selangor,2021,1406.1,3676.9,38.2,3.5083304,101.304146,3.5083304,100.304146
Terengganu,2021,149.4,488.5,30.6,4.8630743,102.9949297,4.5630743,104.2349297
Sabah,2021,354.9,2022,17.6,5.3112,117.0950,3.5000,118.0000
Sarawak,2021,338.8,1338.6,25.3,2.5000,113.0000,0.000,110.0000
Kuala Lumpur,2021,478.8,893.3,53.6,3.1526589,101.7022205,3.0526589,100.5022205
Labuan,2021,17.5,48,36.5,5.2830,115.2470,5.53000,114.0000
Putrajaya,2021,22.4,37.8,59.3,2.9384381,101.69223,2.6384381,100.69223
